CountryName,CountryCode,populationOf1960,populationOf1970,populationOf1980,populationOf1990,populationOf2000,populationOf2010,populationOf2016
Tunisia,TUN,4176266,5060397,6368167,8232797,9699197,10639931,11403248
Turkey,TUR,27472331,34876267,43975921,53921699,63240121,72326914,79512426
Tuvalu,TUV,6104,7303,8052,9003,9420,10531,11097
Tanzania,TZA,10074507,13605529,18683157,25459604,34178042,46098591,55572201
Uganda,UGA,6788214,9446064,12549540,17438907,24039274,33915133,41487965
Ukraine,UKR,42662149,47086761,49968812,51892000,49175848,45870700,45004645
Upper middle income,UMC,1169443831,1439971791,1737396141,2040239025,2285496325,2465137558,2580012056
Uruguay,URY,2538651,2809803,2915778,3109989,3321245,3374415,3444006
United States,USA,180671000,205052000,227225000,249623000,282162411,309348193,323127513
Uzbekistan,UZB,8549493,12110028,15939744,20510000,24650400,28562400,31847900
St. Vincent and the Grenadines,VCT,80949,90452,100505,107505,107898,109315,109643
"Venezuela, RB",VEN,8146847,11587761,15343916,19861956,24488340,29028033,31568179
British Virgin Islands,VGB,8033,9803,11002,16461,20645,27224,30661
Virgin Islands (U.S.),VIR,32500,63476,99636,103963,108642,108358,107510
Vietnam,VNM,32670629,43407287,54372514,68209605,80285562,88472512,94569072
Vanuatu,VUT,63699,85389,115632,146634,185063,236295,270402
World,WLD,3032160395,3685753338,4439337768,5288103216,6121682741,6932880892,7444027227
Samoa,WSM,108646,143176,155557,162866,174610,186205,195125
Kosovo,XKX,947000,1219000,1521000,1862000,1700000,1775680,1816200
"Yemen, Rep.",YEM,5172135,6193810,8120497,12057039,17874725,23606779,27584213
South Africa,ZAF,17456855,22839451,29760471,37560525,45728315,51584663,56015473
Zambia,ZMB,3044846,4173928,5889230,8027253,10531221,13850033,16591390
Zimbabwe,ZWE,3747369,5175618,7164172,10183113,12222251,14086317,16150362
